Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Bacillus amyloliquefaciens,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic, Biofilm former","Environmental organism, biocontrol agent, PGPR, antibiotic producer","25,30,37","6.5,7,7.5",Facultative anaerobe
Rhizobium phaseoli,"Rod-shaped, gram negative, 0.5-0.9 μm, motile",Gram negative,Yeast Mannitol Broth,"Yeast extract 0.4 g, Mannitol 10.0 g, Sodium chloride 0.1 g, Potassium phosphate 0.5 g, Magnesium sulfate 0.2 g, Agar 1.5 g",Selective medium,YM agar with Congo red indicator,"Gram negative rod, Catalase positive, Motile, Nitrogen-fixing, Slow growing","Plant symbiont, bean nodulation","25,28,30,37","6.8,7,7.2",Facultative anaerobe
Stenotrophomonas maltophilia,"Rod-shaped, gram negative, 0.5-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase negative, Catalase positive, Motile, Non-fluorescent","Environmental organism, opportunistic pathogen, plant-associated","25,28,30,37","6.5,7,7.5",Aerobe
Arthrobacter pascens,"Rod/coccus pleomorphic, gram positive, 0.5-1.2 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive, Catalase positive, Non-motile, Pleomorphic morphology","Environmental organism, soil microbe","20,25,30,37","6.5,7,7.5",Aerobe
Bacillus flexus,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Flexible rod morphology","Environmental organism, soil bacterium","25,30,37","6.5,7,7.5",Facultative anaerobe
Streptomyces lydicus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar with antibiotics,"Gram positive filamentous, Non-motile, Slow growing, Produces macrolide antibiotics","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Pseudomonas chlororaphis,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Green pigment, Biocontrol agent","Environmental organism, biocontrol agent, plant-associated","25,28,30,37","6.5,7,7.5",Aerobe
Flavobacterium cheonanense,"Rod-shaped, gram negative, 0.3-0.5 μm, gliding motility",Gram negative,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Catalase positive, Gliding motility, Yellow pigment","Environmental organism, plant-associated","20,25,30","6.5,7,7.5",Aerobe
Paenibacillus lautus,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Biofilm former","Environmental organism, soil bacterium, plant-associated","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Burkholderia silvatlantica,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Nutrient Agar Base 3.6 g, Sodium Chloride 0.5 g, Distilled Water 100 ml, Selective Antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile","Environmental organism, forest soil bacterium","25,28,30,37","6.5,7,7.5",Aerobe
Pseudomonas stutzeri,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent, Denitrifier","Environmental organism, bioremediator, nitrogen cycle","25,28,30,37","6.5,7,7.5",Aerobe
Rhizobium galegae,"Rod-shaped, gram negative, 0.5-0.9 μm, motile",Gram negative,Yeast Mannitol Broth,"Yeast extract 0.4 g, Mannitol 10.0 g, Sodium chloride 0.1 g, Potassium phosphate 0.5 g, Magnesium sulfate 0.2 g, Agar 1.5 g",Selective medium,YM agar with Congo red indicator,"Gram negative rod, Catalase positive, Motile, Nitrogen-fixing, Slow growing","Plant symbiont, Galega nodulation","25,28,30,37","6.8,7,7.2",Facultative anaerobe
Streptomyces griseoflavus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces antibiotics","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus thuringiensis,"Rod-shaped, spore-forming, gram positive, 0.5-1.0 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Produces crystal protein inclusions","Environmental organism, insecticide producer, bioinsecticide","25,30,37","6.5,7,7.5",Facultative anaerobe
Microbacterium oleivorans,"Rod-shaped, gram positive, 0.3-0.5 μm, coryneform",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coryneform rod, Catalase positive, Non-motile, Slow growing, Oil degrader","Environmental organism, plant-associated, bioremediation","25,28,30,37","6.5,7,7.5",Aerobe
Sphingomonas melonis,"Rod-shaped, gram negative, 0.3-0.8 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigment","Environmental organism, plant pathogen on melon","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus coagulans,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Lactic acid producer","Environmental organism, food production, probiotic","25,30,45","6.5,7,7.5",Facultative anaerobe
Rhodococcus wratislaviensis,"Rod/coccus pleomorphic, gram positive, 0.5-1.5 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive, Catalase positive, Partially acid-fast, Non-motile, Slow growing","Environmental organism, soil microbe","25,28,30,37","6.5,7,7.5",Aerobe
Brevibacillus centrosporus,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Central spore formation","Environmental organism, soil bacterium","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Paenibacillus borealis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Psychrotolerant","Environmental organism, arctic soil bacterium","4,10,15,20,25,30","6.5,7,7.5",Facultative anaerobe
Sphingobacterium caeni,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Sphingolipids in cell wall","Environmental organism, wastewater treatment","25,28,30,37","6.5,7,7.5",Aerobe
Terrabacter lapilli,"Rod-shaped, gram positive, 0.3-0.8 μm, coryneform branching",Gram positive,Nutrient Agar or Starch Casein Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Catalase positive, Non-motile, Slow growing","Environmental organism, soil actinobacterium","25,28,30,37","6.5,7,7.5",Aerobe
Microbacterium binotii,"Rod-shaped, gram positive, 0.3-0.5 μm, coryneform",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coryneform rod, Catalase positive, Non-motile, Slow growing","Environmental organism, plant-associated microbe","25,28,30,37","6.5,7,7.5",Aerobe
Agrobacterium larrymoorei,"Rod-shaped, gram negative, 0.5-1.0 μm, motile polar flagella",Gram negative,YM Medium or Trypticase Soy Agar,"Yeast extract 0.3 g, Malt extract 0.3 g, Peptone 0.5 g, Dextrose 0.1 g, Agar 1.5 g",Selective medium,YM agar or selective agar,"Gram negative rod, Oxidase positive, Catalase positive, Motile","Environmental organism, plant-associated","25,28,30,37","6.5,7,7.5",Aerobe
Micrococcus lylae,"Cocci, gram positive, 0.5-1.0 μm, non-motile",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive cocci, Catalase positive, Non-motile, Aerobic, Yellow pigment","Environmental organism, skin flora","20,25,30,37","6.5,7,7.5",Aerobe
Bacillus simplex,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic","Environmental organism, soil bacterium","25,30,37","6.5,7,7.5",Facultative anaerobe
Arthrobacter crystallopoietes,"Rod/coccus pleomorphic, gram positive, 0.5-1.2 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive, Catalase positive, Non-motile, Pleomorphic morphology, Crystalline colonies","Environmental organism, soil microbe","20,25,30,37","6.5,7,7.5",Aerobe
Streptomyces griseus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar with antibiotics,"Gram positive filamentous, Non-motile, Slow growing, Produces griseofulvin and streptomycin","Environmental organism, antibiotic producer, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces coelicolor,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar with antibiotics,"Gram positive filamentous, Non-motile, Slow growing, Produces secondary metabolites","Environmental organism, soil actinomycete, model organism","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces antibioticus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces actinomycin D","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus subtilis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic","Environmental organism, biofilm former, biocontrol agent, model organism","25,30,37","6.5,7,7.5",Facultative anaerobe
Bacillus polymyxa,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Biofilm former, Nitrogen-fixing","Environmental organism, plant-growth-promoting rhizobacterium, PGPR","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Micromonospora purpurea,"Filamentous, branching, gram positive, 0.3-1.0 μm",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive actinomycete, Non-motile, Slow growing, Purple/red pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Actinoplanes missouriensis,"Filamentous, branching, gram positive, 0.3-0.8 μm",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive actinomycete, Non-motile, Slow growing, Zoospore formation","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Nocardia asteroides,"Rod-shaped, branching, gram positive, 0.3-0.8 μm, partially acid-fast",Gram positive (acid-fast),Nutrient Agar or Lowenstein-Jensen medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Catalase positive, Partially acid-fast, Non-motile, Slow growing","Environmental organism, opportunistic pathogen, soil","25,28,30,37","6.5,7,7.5",Aerobe
Amycolatopsis orientalis,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces vancomycin","Environmental organism, soil actinomycete, glycopeptide antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces avermitilis,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces avermectins","Environmental organism, soil actinomycete, antiparasitic producer","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces clavuligerus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces beta-lactamase inhibitor clavulanic acid","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces rimosus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar with antibiotics,"Gram positive filamentous, Non-motile, Slow growing, Produces tetracycline","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus licheniformis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Hemolytic","Environmental organism, bacitracin producer, PGPR","25,30,37","6.5,7,7.5",Facultative anaerobe
Streptomyces scabies,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Plant pathogen","Soil actinomycete, plant pathogen, potato scab disease","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces thermoviolaceus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Thermophilic, Purple pigment",Thermophilic soil actinomycete,"45,50,55","6.5,7,7.5",Aerobe
Streptomyces griseoplanus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Gray pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces roseosporus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Rose/pink pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus cereus,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Mannitol Egg Yolk Polymyxin Agar,"Nutrient agar with mannitol, egg yolk, polymyxin","Gram positive rod with spores, Catalase positive, Motile, Lecithinase positive","Environmental organism, occasional pathogen, biofilm former","25,30,37","6.5,7,7.5",Facultative anaerobe
Bacillus pumilus,"Rod-shaped, spore-forming, gram positive, 0.5-0.7 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic, Biofilm former","Environmental organism, antibiotic producer, PGPR","25,30,37","6.5,7,7.5",Facultative anaerobe
Micromonospora echinospora,"Filamentous, branching, gram positive, 0.3-1.0 μm",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive actinomycete, Non-motile, Slow growing, Spiny spore chains","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces antibioticus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces actinomycin D","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Nocardia farcinica,"Rod-shaped, branching, gram positive, 0.3-0.8 μm, partially acid-fast",Gram positive (acid-fast),Nutrient Agar or Lowenstein-Jensen medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Catalase positive, Partially acid-fast, Non-motile, Slow growing","Environmental organism, opportunistic pathogen, soil","25,28,30,37","6.5,7,7.5",Aerobe
Actinomadura madurae,"Filamentous, branching, gram positive, 0.3-1.0 μm, partially acid-fast",Gram positive (acid-fast),Nutrient Agar or Glycerol Asparagine Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive actinomycete, Non-motile, Slow growing, Orange/yellow pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Amycolatopsis rifamycinica,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Produces rifamycins","Environmental organism, soil actinomycete, antibiotic producer","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces virginiae,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Purple pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces violaceoruber,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, Violet-red pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Streptomyces albidoflavus,"Filamentous, branching, gram positive, 0.5-1.0 μm",Gram positive,Starch Casein Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Selective actinomycete medium,Starch casein agar,"Gram positive filamentous, Non-motile, Slow growing, White to yellow pigment","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Legionella pneumophila,"Rod-shaped, gram negative, 0.3-0.9 μm, motile",Gram negative,Buffered Charcoal Yeast Extract Agar,"Agar 10 g, Yeast Extract 0.5 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml, with L-cysteine and iron saltsl",Selective medium with antibiotics,"BMPA agar (BCYE with polymyxin B, anisomycin, cefamandole)","Gram negative rod, Oxidase negative, Catalase variable, Intracellular pathogen","Environmental organism, water-associated, human pathogen","35,37,40",6.9,Aerobe
